popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category,time_signature,duration_ms
14,0.586,0.907,0,-4.654,0,0.0448,0.351,0.000562,0.0777,0.891,101.007,blues,4,231027
34,0.786,0.474,9,-7.051,0,0.0341,0.479,0.000359,0.14,0.607,98.506,blues,3,429067
53,0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,blues,3,314880
34,0.688,0.464,5,-9.119,0,0.0317,0.448,0.0636,0.0987,0.401,91.985,blues,4,336920
52,0.678,0.551,1,-7.332,1,0.0261,0.266,0.00322,0.254,0.767,97.767,blues,3,280453
25,0.454,0.682,7,-10.795,1,0.658,0.953,1.52e-06,0.902,0.607,91.113,blues,3,116827
28,0.576,0.57,7,-7.994,1,0.0671,0.665,0.000663,0.095,0.92,117.843,blues,3,162360
28,0.556,0.87,7,-4.816,0,0.166,0.162,0.463,0.0941,0.955,169.826,blues,4,194564
49,0.577,0.916,4,-7.305,1,0.101,0.445,0.0,0.156,0.545,94.731,blues,4,163133
15,0.623,0.675,5,-4.903,0,0.112,0.414,1.81e-06,0.0442,0.83,170.601,blues,4,257560
39,0.675,0.575,7,-4.896,0,0.0303,0.736,0.0171,0.119,0.778,85.962,blues,4,323427
1,0.371,0.891,10,-6.587,1,0.14,0.209,0.0969,0.321,0.484,106.2,blues,3,177307
37,0.635,0.559,4,-11.315,1,0.0844,0.335,0.00213,0.102,0.728,78.353,blues,4,213653
44,0.739,0.355,0,-10.571,1,0.0285,0.177,0.169,0.299,0.751,95.985,blues,4,277675
53,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,blues,4,149560
28,0.533,0.162,5,-15.774,1,0.055,0.994,0.671,0.12,0.764,182.717,blues,4,181551
40,0.492,0.596,2,-4.038,1,0.0395,0.97,0.043,0.284,0.548,86.952,blues,4,219560
48,0.629,0.748,9,-6.3,1,0.0406,0.0924,0.0,0.0449,0.439,111.066,blues,4,278907
54,0.563,0.542,9,-10.862,1,0.0962,0.706,3.59e-05,0.355,0.785,133.285,blues,4,181000
41,0.601,0.861,7,-5.513,1,0.0463,0.0153,0.000102,0.0723,0.668,119.724,blues,4,208027
51,0.537,0.695,11,-9.88,1,0.0377,0.00393,0.188,0.084,0.77,131.307,blues,4,295693
32,0.502,0.472,2,-13.662,1,0.161,0.59,0.00267,0.087,0.754,104.404,blues,4,272373
33,0.482,0.719,9,-8.794,1,0.0558,0.0146,0.13,0.155,0.909,87.743,blues,4,159707
29,0.677,0.608,1,-6.225,1,0.0957,0.239,7.24e-05,0.258,0.914,76.034,blues,4,260013
15,0.594,0.757,9,-5.604,1,0.0427,0.114,0.0,0.292,0.866,106.172,blues,4,321400
45,0.803,0.288,7,-15.418,0,0.0629,0.865,0.0593,0.0833,0.865,115.685,blues,4,259160
31,0.648,0.758,4,-5.843,1,0.0643,0.0233,0.000522,0.474,0.8,103.629,blues,4,288282
46,0.383,0.511,2,-7.143,0,0.0369,0.168,0.0061,0.256,0.294,121.049,blues,4,469445
20,0.659,0.549,8,-11.633,1,0.0358,0.584,0.0018,0.12,0.917,130.792,blues,4,182933
41,0.599,0.906,11,-5.133,0,0.0641,0.0158,2.47e-05,0.108,0.712,120.024,blues,4,302423
18,0.553,0.839,0,-7.486,1,0.314,0.272,7.27e-05,0.099,0.774,205.956,blues,4,199040
49,0.433,0.7,11,-8.197,1,0.163,0.843,0.324,0.102,0.8,80.623,blues,4,176186
31,0.601,0.487,0,-11.738,1,0.0994,0.285,5.53e-06,0.161,0.735,103.571,blues,4,154133
38,0.515,0.43,7,-10.912,1,0.25,0.81,0.0069,0.126,0.624,165.888,blues,4,219000
27,0.537,0.356,9,-8.6,1,0.0458,0.927,0.0653,0.307,0.312,92.399,blues,4,206467
32,0.747,0.162,2,-16.498,1,0.031,0.964,0.000291,0.132,0.716,93.09,blues,1,219141
26,0.599,0.0757,6,-12.798,1,0.0478,0.987,0.00555,0.105,0.641,199.428,blues,3,170080
15,0.764,0.645,2,-6.731,1,0.0438,0.0334,0.125,0.0389,0.491,88.168,blues,4,321376
9,0.779,0.525,7,-9.159,0,0.081,0.0701,0.0882,0.11,0.906,85.18,blues,4,265133
39,0.903,0.365,5,-10.653,0,0.101,0.168,0.0465,0.0728,0.519,127.213,blues,4,296533
53,0.553,0.828,9,-4.091,1,0.0609,0.11,0.0,0.2,0.902,152.638,blues,4,201194
39,0.619,0.779,9,-5.582,0,0.031,0.000758,3.92e-05,0.165,0.516,109.052,blues,4,209760
34,0.76,0.323,2,-12.06,1,0.125,0.983,0.000475,0.134,0.648,110.369,blues,4,144787
37,0.535,0.816,2,-8.534,1,0.0286,0.044,0.000435,0.117,0.726,105.635,blues,4,192560
41,0.374,0.849,5,-6.812,0,0.0437,0.0231,0.267,0.335,0.644,177.768,blues,4,292354
35,0.831,0.46,5,-10.298,0,0.0351,0.543,0.000171,0.128,0.689,99.943,blues,4,226733
42,0.479,0.905,4,-6.606,0,0.0565,0.00076,0.00219,0.326,0.274,90.007,blues,4,218088
24,0.535,0.257,4,-9.224,1,0.0317,0.608,0.0,0.108,0.105,143.943,blues,3,212266
29,0.57,0.567,4,-7.958,0,0.0595,0.0458,0.000407,0.205,0.806,155.153,blues,4,246293
38,0.538,0.177,0,-14.158,1,0.0447,0.91,0.00825,0.0927,0.415,77.396,blues,4,240360
26,0.392,0.187,6,-12.211,1,0.0358,0.812,2.48e-06,0.175,0.227,134.708,blues,4,236013
25,0.406,0.7,11,-7.411,0,0.0491,0.0425,0.00036,0.969,0.709,89.158,blues,4,335956
12,0.676,0.662,7,-4.061,1,0.0324,0.0148,0.00682,0.104,0.154,104.001,blues,4,255840
40,0.482,0.567,0,-8.548,1,0.0286,0.189,0.00462,0.357,0.646,167.581,blues,4,234274
30,0.719,0.591,7,-6.855,1,0.0294,0.122,0.000157,0.18,0.573,89.011,blues,4,250253
57,0.572,0.348,0,-13.454,1,0.0293,0.438,0.000731,0.235,0.34,73.303,blues,4,275267
